관리번호,수목명,수목구분,수목유형,식재일,관리기관전화번호,관리기관명,데이터기준일자,도로명,도로종류,도로시작점,도로종료점,수목위치,수목위도,수목경도,도로명주소,지번주소,행정동,흉고직경,근원직경,식재간격,수령,도로폭,보도폭,보호덮개,보호틀,보호틀파손여부,뿌리융기여부,통기,지장물1,지장물2,수목전경사진,보호덮개사진
06-고산자로28길-가-0013,느티나무,가로수,교목,1998-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,고산자로28길,특별시도,서울특별시 동대문구 용두동 29-8,서울특별시 동대문구 용두동 39-116,홈플러스 스페셜,37.57496869,127.0388074,,서울특별시 동대문구 용두동 33-1,용신동,0.24,0.37,5.5,30,6,2.4,주철,사각형,N,N,N,전깃줄,,01-06-고산자로28길-가-0013-001.jpg,01-06-고산자로28길-가-0013-002.jpg
06-왕산로-가-0223,은행나무,가로수,교목,1976-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,왕산로,특별시도,서울특별시 동대문구 신설동 131-50,서울특별시 동대문구 휘경동 343-23,왕산로 18 앞,37.5762291,127.0255585,,서울특별시 동대문구 신설동 76-5,용신동,0.41,0.48,5,52,35,3.7,압연강판,사각형,N,N,N,,,01-06-왕산로-가-0223-001.jpg,01-06-왕산로-가-0223-002.jpg
06-안암로-가-0127,은행나무,가로수,교목,1973-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,안암로,특별시도,서울특별시 동대문구 신설동 397-2,서울특별시 동대문구 제기동 136-11,GS25 앞,37.5882592,127.0348019,,서울특별시 동대문구 제기동 142-19,제기동,0.43,0.52,18,54,25,2.2,주철,사각형,N,N,N,가로등,전깃줄,01-06-안암로-가-0127-001.jpg,01-06-안암로-가-0127-002.jpg
06-전농로-가-0053,양버즘나무,가로수,교목,1996-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,전농로,특별시도,서울특별시 동대문구 답십리동 492-1,서울특별시 동대문구 전농동 620-67,불독복싱 앞,37.5712322,127.057405,,서울특별시 동대문구 답십리동 51-3,답십리2동,0.37,0.44,17,31,25,2.5,,사각형,N,N,N,전신주,전깃줄,01-06-전농로-가-0053-001.jpg,01-06-전농로-가-0053-002.jpg
06-회기로-가-0157,은행나무,가로수,교목,1972-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,회기로,특별시도,서울특별시 동대문구 제기동 1149-16,서울특별시 동대문구 휘경동 183-144,인산한의원 앞,37.5913645,127.0529143,,서울특별시 동대문구 회기동 45-38,회기동,0.44,0.52,6,55,20,2.4,압연강판,사각형,N,N,N,전깃줄,,01-06-회기로-가-0157-001.jpg,01-06-회기로-가-0157-002.jpg
06-회기로-가-0161,은행나무,가로수,교목,1962-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,회기로,특별시도,서울특별시 동대문구 제기동 1149-16,서울특별시 동대문구 휘경동 183-144,가장맛있는족발 앞,37.5911891,127.0531677,,서울특별시 동대문구 회기동 45-37,회기동,0.52,0.57,6.7,65,20,1.3,압연강판,사각형,N,N,N,전깃줄,,01-06-회기로-가-0161-001.jpg,01-06-회기로-가-0161-002.jpg
06-회기로-가-0260,은행나무,가로수,교목,1971-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,회기로,특별시도,서울특별시 동대문구 제기동 1149-16,서울특별시 동대문구 휘경동 183-144,목꾸안 앞,37.591408,127.0515679,,서울특별시 동대문구 회기동 60-48,회기동,0.45,0.51,6,57,20,0.8,주철,사각형,N,N,N,전깃줄,,01-06-회기로-가-0260-001.jpg,01-06-회기로-가-0260-002.jpg
06-회기로-가-0268,은행나무,가로수,교목,1972-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,회기로,특별시도,서울특별시 동대문구 제기동 1149-16,서울특별시 동대문구 휘경동 183-144,취치킨 앞,37.5915184,127.0506134,,서울특별시 동대문구 회기동 60-1,회기동,0.44,0.54,5.5,55,20,1,주철,사각형,N,N,N,전깃줄,,01-06-회기로-가-0268-001.jpg,01-06-회기로-가-0268-002.jpg
06-회기로-가-0087,은행나무,가로수,교목,1997-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,회기로,특별시도,서울특별시 동대문구 제기동 1149-16,서울특별시 동대문구 휘경동 183-144,KOCCA문화광장 앞,37.59160233,127.045991,,서울특별시 동대문구 청량리동 산 1-135,청량리동,0.24,0.29,5,30,20,1.3,,대상형,N,N,N,,,01-06-회기로-가-0087-001.jpg,01-06-회기로-가-0087-002.jpg
06-회기로-가-0332,은행나무,가로수,교목,2004-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,회기로,특별시도,서울특별시 동대문구 제기동 1149-16,서울특별시 동대문구 휘경동 183-144,국립산림과학원 앞,37.59179688,127.0436325,,서울특별시 동대문구 청량리동 산 4-2,청량리동,0.18,0.21,5.2,23,20,1.3,압연강판,사각형,N,N,N,,,01-06-회기로-가-0332-001.jpg,01-06-회기로-가-0332-002.jpg
06-제기로-가-0125,양버즘나무,가로수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,제기로,특별시도,서울특별시 동대문구 제기동 142-22,서울특별시 동대문구 전농동 620-67,순복음강북교회 앞,37.5856929,127.051049,,서울특별시 동대문구 청량리동 34,청량리동,0.38,0.49,8,32,25,,압연강판,사각형,N,N,N,,,01-06-제기로-가-0125-001.jpg,01-06-제기로-가-0125-002.jpg
06-답십리로-가-0420,양버즘나무,가로수,교목,1996-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,답십리로,특별시도,서울특별시 동대문구 전농동 621-1,서울특별시 동대문구 장안동 333-2,김혜경 옷수선전문점 앞,37.5742836,127.0504379,,서울특별시 동대문구 답십리동 473-63,답십리1동,0.37,0.44,5,31,30,1.3,압연강판,사각형,N,N,N,가로등,전깃줄,01-06-답십리로-가-0420-001.jpg,01-06-답십리로-가-0420-002.jpg
06-천호대로-가-0401,양버즘나무,가로수,교목,1989-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,천호대로,특별시도,서울특별시 동대문구 신설동 117-21,서울특별시 동대문구 장안동 204-13,카페노란코끼리,37.57363143,127.0400462,,서울특별시 동대문구 용두동 39-559,용신동,0.45,0.59,,38,40,3.8,압연강판,사각형,N,N,N,표지판,가로등,01-06-천호대로-가-0401-001.jpg,01-06-천호대로-가-0401-002.jpg
06-천호대로-가-0398,양버즘나무,가로수,교목,1999-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,천호대로,특별시도,서울특별시 동대문구 신설동 117-21,서울특별시 동대문구 장안동 204-13,동서빌딩,37.5734572,127.0406689,,서울특별시 동대문구 용두동 47-1,용신동,0.33,0.48,9,28,40,3.8,압연강판,사각형,N,Y,N,전신주,전깃줄,01-06-천호대로-가-0398-001.jpg,01-06-천호대로-가-0398-002.jpg
06-황물로-가-0044,은행나무,가로수,교목,2012-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,황물로,특별시도,서울특별시 동대문구 전농동 643-5,서울특별시 동대문구 답십리동 952-7,삼흥우의 앞,37.5729958,127.0471203,,서울특별시 동대문구 전농동 667-4,전농1동,0.12,0.15,6,15,17,1.3,압연강판,,N,N,N,전깃줄,,01-06-황물로-가-0044-001.jpg,01-06-황물로-가-0044-002.jpg
06-제기로17길-가-0079,은행나무,가로수,교목,1979-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,제기로17길,특별시도,서울특별시 동대문구 청량리동 520-55,서울특별시 동대문구 청량리동 205-293,한신약국 앞,37.5868187,127.0414124,,서울특별시 동대문구 청량리동 520-9,청량리동,0.38,0.48,2.8,48,14,1.1,기타,,N,N,N,건물,,01-06-제기로17길-가-0079-001.jpg,01-06-제기로17길-가-0079-002.jpg
06-회기로-가-0346,은행나무,가로수,교목,1978-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,회기로,특별시도,서울특별시 동대문구 제기동 1149-16,서울특별시 동대문구 휘경동 183-144,국립산림과학원 정문 앞,37.5914095,127.0420434,,서울특별시 동대문구 청량리동 산 5-8,청량리동,0.39,0.48,6,49,20,1.7,,대상형,N,N,N,가로등,,01-06-회기로-가-0346-001.jpg,01-06-회기로-가-0346-002.jpg
06-사가정로-가-0044,은행나무,가로수,교목,2012-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,사가정로,특별시도,서울특별시 동대문구 답십리동 524-1,경기도 구리시 아천동 28-2,동대문 중학교 앞,37.5737988,127.0525542,,서울특별시 동대문구 답십리동 112-3,답십리1동,0.12,0.15,7,15,20,1.5,주철,사각형,N,N,N,전깃줄,,01-06-사가정로-가-0044-001.jpg,01-06-사가정로-가-0044-002.jpg
06-전농로-가-0339,양버즘나무,가로수,교목,1991-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,전농로,특별시도,서울특별시 동대문구 답십리동 492-1,서울특별시 동대문구 전농동 620-67,거창천막 앞,37.5720774,127.0572747,,서울특별시 동대문구 답십리동 53-1,답십리1동,0.43,0.45,7,36,25,2.5,,사각형,N,N,N,전깃줄,,01-06-전농로-가-0339-001.jpg,01-06-전농로-가-0339-002.jpg
06-서울시립대로-가-0185,은행나무,가로수,교목,1974-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,서울시립대로,특별시도,서울특별시 동대문구 답십리동 464-1,서울특별시 동대문구 전농동 152-11,디저트보안관 앞,37.58153534,127.0521698,,서울특별시 동대문구 전농동 129-75,전농1동,0.42,0.49,7.9,53,25,1.7,주철,사각형,N,N,N,가로등,전깃줄,01-06-서울시립대로-가-0185-001.jpg,01-06-서울시립대로-가-0185-002.jpg
06-천호대로-가-0296,양버즘나무,가로수,교목,1984-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,천호대로,특별시도,서울특별시 동대문구 신설동 117-21,서울특별시 동대문구 장안동 204-13,효림요양병원 앞,37.5685526,127.0507639,,서울특별시 동대문구 답십리동 497-34,답십리1동,0.51,0.55,6,43,40,6,,사각형,N,N,N,,,01-06-천호대로-가-0296-001.jpg,01-06-천호대로-가-0296-002.jpg
06-천호대로-가-0487,양버즘나무,가로수,교목,1992-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,천호대로,특별시도,서울특별시 동대문구 신설동 117-21,서울특별시 동대문구 장안동 204-13,삼원기계 앞,37.5740096,127.0275047,,서울특별시 동대문구 신설동 92-34,용신동,0.42,0.54,6.4,35,40,2.7,압연강판,사각형,N,N,N,전깃줄,,01-06-천호대로-가-0487-001.jpg,01-06-천호대로-가-0487-002.jpg
06-서울시립대로-가-0258,은행나무,가로수,교목,1986-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,서울시립대로,특별시도,서울특별시 동대문구 답십리동 464-1,서울특별시 동대문구 전농동 152-11,대우 공인중개사,37.573996,127.0460969,서울특별시 동대문구 서울시립대로 26-1,서울특별시 동대문구 전농동 646-22,전농1동,0.33,0.38,11.5,42,25,1.5,주철,사각형,N,N,N,신호등,전깃줄,01-06-서울시립대로-가-0258-001.jpg,01-06-서울시립대로-가-0258-002.jpg
06-홍릉로-가-0127,은행나무,가로수,교목,2013-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,홍릉로,특별시도,서울특별시 동대문구 청량리동 279,서울특별시 동대문구 청량리동 206-77,홍릉문화복지센터 앞,37.5874464,127.0428758,,서울특별시 동대문구 청량리동 205-850,청량리동,0.11,0.15,6.2,14,23,2.2,압연강판,,N,N,N,,,01-06-홍릉로-가-0127-001.jpg,01-06-홍릉로-가-0127-002.jpg
06-홍릉로-가-0098,은행나무,가로수,교목,2003-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,홍릉로,특별시도,서울특별시 동대문구 청량리동 279,서울특별시 동대문구 청량리동 206-77,홍릉유치원입구 앞,37.5909955,127.0423533,,서울특별시 동대문구 청량리동 산 1-227,청량리동,0.19,0.25,10,24,23,2.7,압연강판,사각형,N,N,N,전깃줄,,01-06-홍릉로-가-0098-001.jpg,01-06-홍릉로-가-0098-002.jpg
06-천호대로-가-0142,양버즘나무,가로수,교목,1986-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,천호대로,특별시도,서울특별시 동대문구 신설동 117-21,서울특별시 동대문구 장안동 204-13,태인에어컨전문점 앞,37.56128558,127.0701149,,서울특별시 동대문구 장안동 480-18,장안1동,0.49,0.63,14,41,40,1.2,주철,사각형,N,N,N,전깃줄,,01-06-천호대로-가-0142-001.jpg,01-06-천호대로-가-0142-002.jpg
06-답십리로-가-0046,은행나무,가로수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,답십리로,특별시도,서울특별시 동대문구 전농동 621-1,서울특별시 동대문구 장안동 333-2,우일빌딩,37.57499313,127.0496216,,서울특별시 동대문구 전농동 666,전농1동,0.2,0.27,8.5,25,30,1,주철,사각형,N,N,N,가로등,전깃줄,01-06-답십리로-가-0046-001.jpg,01-06-답십리로-가-0046-002.jpg
06-천호대로47길-가-0072,느티나무,가로수,교목,2005-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,천호대로47길,특별시도,서울특별시 동대문구 답십리동 463-13,서울특별시 동대문구 답십리동 645-8,숭인수영장 반대편,37.57366848,127.0431943,,서울특별시 동대문구 답십리동 462-1,답십리1동,0.18,0.22,11,22,19,1,주철,말발굽형,N,N,N,,,01-06-천호대로47길-가-0072-001.jpg,01-06-천호대로47길-가-0072-002.jpg
06-안암로-가-0047,은행나무,가로수,교목,1996-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,안암로,특별시도,서울특별시 동대문구 신설동 397-2,서울특별시 동대문구 제기동 136-11,CU 앞,37.581359,127.0277711,,서울특별시 동대문구 용두동 774,용신동,0.25,0.28,4,32,25,2.1,,대상형,N,N,N,전신주,전깃줄,01-06-안암로-가-0047-001.jpg,01-06-안암로-가-0047-002.jpg
06-제기로-가-0083,양버즘나무,가로수,교목,1999-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,제기로,특별시도,서울특별시 동대문구 제기동 142-22,서울특별시 동대문구 전농동 620-67,경일공업사 앞,37.586721,127.0451639,,서울특별시 동대문구 청량리동 819,청량리동,0.34,0.39,7,29,25,1.3,압연강판,사각형,N,N,N,전신주,전깃줄,01-06-제기로-가-0083-001.jpg,01-06-제기로-가-0083-002.jpg
06-서울시립대로-가-0196,은행나무,가로수,교목,1968-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,서울시립대로,특별시도,서울특별시 동대문구 답십리동 464-1,서울특별시 동대문구 전농동 152-11,한성보드바스 앞,37.5806801,127.0514688,,서울특별시 동대문구 전농동 582-6,전농1동,0.47,0.53,12,59,25,1.7,주철,사각형,N,N,N,가로등,전깃줄,01-06-서울시립대로-가-0196-001.jpg,01-06-서울시립대로-가-0196-002.jpg
06-사가정로-가-0004,은행나무,가로수,교목,1957-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,사가정로,특별시도,서울특별시 동대문구 답십리동 524-1,경기도 구리시 아천동 28-2,칸모텔,37.57048242,127.0490776,,서울특별시 동대문구 답십리동 549-2,답십리1동,0.56,0.67,5.5,70,20,2,,사각형,N,N,N,전깃줄,,01-06-사가정로-가-0004-001.jpg,01-06-사가정로-가-0004-002.jpg
06-한천로-가-0308,은행나무,가로수,교목,2013-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,한천로,특별시도,서울특별시 동대문구 장안동 413-7,서울특별시 동대문구 이문동 209-13,주품에교회 앞,37.5993379,127.0678022,,서울특별시 동대문구 이문동 354-5,이문2동,0.11,0.14,13,14,20,0.9,압연강판,사각형,N,N,N,전깃줄,,01-06-한천로-가-0308-001.jpg,01-06-한천로-가-0308-002.jpg
06-서울시립대로-가-0010,은행나무,가로수,교목,1993-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,서울시립대로,특별시도,서울특별시 동대문구 답십리동 464-1,서울특별시 동대문구 전농동 152-11,동아아파트 경로당,37.5745747,127.046263,,서울특별시 동대문구 전농동 666,전농1동,0.27,0.34,8.3,34,25,0.8,주철,사각형,N,N,N,전신주,전깃줄,01-06-서울시립대로-가-0010-001.jpg,01-06-서울시립대로-가-0010-002.jpg
06-천호대로47길-가-0029,느티나무,가로수,교목,1964-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,천호대로47길,특별시도,서울특별시 동대문구 답십리동 463-13,서울특별시 동대문구 답십리동 645-8,숭인중학교 앞,37.57429123,127.0438614,,서울특별시 동대문구 답십리동 552,답십리1동,0.52,0.59,6,64,19,4.5,압연강판,사각형,N,N,N,전깃줄,,01-06-천호대로47길-가-0029-001.jpg,01-06-천호대로47길-가-0029-002.jpg
06-회기로-가-0035,은행나무,가로수,교목,1981-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,회기로,특별시도,서울특별시 동대문구 제기동 1149-16,서울특별시 동대문구 휘경동 183-144,SK LPG 주유소 앞,37.59122849,127.0413513,,서울특별시 동대문구 청량리동 산 5-9,청량리동,0.37,0.43,15,47,20,1.9,주철,사각형,N,N,N,전깃줄,,01-06-회기로-가-0035-001.jpg,01-06-회기로-가-0035-002.jpg
06-장한로-가-0140,이팝나무,가로수,교목,2004-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장한로,특별시도,서울특별시 동대문구 장안동 464-1,서울특별시 동대문구 장안동 313-1,늘푸른어린이공원 앞,37.5760368,127.0719127,,서울특별시 동대문구 장안동 469-3,장안2동,0.11,0.16,6.4,23,30,2,압연강판,사각형,N,N,N,전신주,전깃줄,01-06-장한로-가-0140-001.jpg,01-06-장한로-가-0140-002.jpg
06-장한로-가-0035,은행나무,가로수,교목,2007-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장한로,특별시도,서울특별시 동대문구 장안동 464-1,서울특별시 동대문구 장안동 313-1,LG유플러스 앞,37.5658662,127.067771,,서울특별시 동대문구 장안동 469-12,장안1동,0.16,0.21,16.2,20,30,2.6,압연강판,사각형,N,N,N,가로등,전깃줄,01-06-장한로-가-0035-001.jpg,01-06-장한로-가-0035-002.jpg
06-고산자로-가-0173,양버즘나무,가로수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,고산자로,특별시도,서울특별시 동대문구 용두동 696-10,서울특별시 동대문구 제기동 1149-16,행인버디칼 앞,37.5854039,127.0386447,,서울특별시 동대문구 제기동 696,제기동,0.38,0.44,29,32,25,2.6,압연강판,사각형,N,N,N,표지판,전깃줄,01-06-고산자로-가-0173-001.jpg,01-06-고산자로-가-0173-002.jpg
06-겸재로-가-0079,메타세쿼이아,가로수,교목,2016-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,겸재로,특별시도,서울특별시 동대문구 휘경동 57-1,서울특별시 동대문구 휘경동 49-295,휘경주공아파트입구 옆,37.58405121,127.0686489,,서울특별시 동대문구 휘경동 57-2,휘경2동,0.14,0.15,,11,25,5,,사각형,N,N,N,가로등,,01-06-겸재로-가-0079-001.jpg,01-06-겸재로-가-0079-002.jpg
06-한천로-가-0231,은행나무,가로수,교목,2013-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,한천로,특별시도,서울특별시 동대문구 장안동 413-7,서울특별시 동대문구 이문동 209-13,서울준법지원센터,37.58507995,127.0678064,,서울특별시 동대문구 휘경동 43-1,휘경2동,0.11,0.14,7,14,20,1.3,압연강판,사각형,N,N,N,전깃줄,,01-06-한천로-가-0231-001.jpg,01-06-한천로-가-0231-002.jpg
06-한천로-가-0237,양버즘나무,가로수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,한천로,특별시도,서울특별시 동대문구 장안동 413-7,서울특별시 동대문구 이문동 209-13,서울준법지원센터,37.5855325,127.0676919,서울특별시 동대문구 한천로 272,서울특별시 동대문구 휘경동 43-1,휘경2동,0.3,0.42,9,25,20,1.3,압연강판,사각형,N,N,N,전깃줄,,01-06-한천로-가-0237-001.jpg,01-06-한천로-가-0237-002.jpg
06-고산자로-가-0177,양버즘나무,가로수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,고산자로,특별시도,서울특별시 동대문구 용두동 696-10,서울특별시 동대문구 제기동 1149-16,세영비닐포장 앞,37.5849454,127.038665,,서울특별시 동대문구 제기동 699,제기동,0.38,0.44,7,32,25,2.4,압연강판,사각형,N,N,N,전신주,전깃줄,01-06-고산자로-가-0177-001.jpg,01-06-고산자로-가-0177-002.jpg
06-전농로-가-0191,은행나무,가로수,교목,1971-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,전농로,특별시도,서울특별시 동대문구 답십리동 492-1,서울특별시 동대문구 전농동 620-67,피식 앞,37.5846032,127.0528938,,서울특별시 동대문구 전농동 103-156,전농1동,0.45,0.5,6,57,25,2.5,,사각형,Y,N,N,전깃줄,,01-06-전농로-가-0191-001.jpg,01-06-전농로-가-0191-002.jpg
06-사가정로-가-0029,은행나무,가로수,교목,1981-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,사가정로,특별시도,서울특별시 동대문구 답십리동 524-1,경기도 구리시 아천동 28-2,답십리 1동 주민센터 정류장 옆,37.572301,127.0509498,,서울특별시 동대문구 답십리동 549-1,답십리1동,0.37,0.47,6.1,47,20,2.1,압연강판,사각형,N,N,N,전깃줄,,01-06-사가정로-가-0029-001.jpg,01-06-사가정로-가-0029-002.jpg
06-사가정로-가-0071,은행나무,가로수,교목,2004-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,사가정로,특별시도,서울특별시 동대문구 답십리동 524-1,경기도 구리시 아천동 28-2,서울대표도서관 공사장 앞,37.57561903,127.0546315,,서울특별시 동대문구 전농동 311,전농1동,0.18,0.25,7,23,20,3,,대상형,N,N,N,전깃줄,,01-06-사가정로-가-0071-001.jpg,01-06-사가정로-가-0071-002.jpg
06-사가정로-가-0315,은행나무,가로수,교목,1997-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,사가정로,특별시도,서울특별시 동대문구 답십리동 524-1,경기도 구리시 아천동 28-2,범양레우스 앞,37.5766954,127.0566152,,서울특별시 동대문구 전농동 295-26,전농1동,0.24,0.26,8,30,20,6,주철,사각형,N,N,N,가로등,전깃줄,01-06-사가정로-가-0315-001.jpg,01-06-사가정로-가-0315-002.jpg
06-한천로-가-0099,양버즘나무,가로수,교목,2000-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,한천로,특별시도,서울특별시 동대문구 장안동 413-7,서울특별시 동대문구 이문동 209-13,푸조빌딩,37.57170245,127.0658034,,서울특별시 동대문구 장안동 150-21,장안1동,0.32,0.45,5.5,27,20,1.6,주철,사각형,N,N,N,전깃줄,,01-06-한천로-가-0099-001.jpg,01-06-한천로-가-0099-002.jpg
