관리번호,수목명,수목구분,수목유형,식재일,관리기관전화번호,관리기관명,데이터기준일자,공원명,공원관리번호,도로명주소,지번주소,수목위치,수목위도,수목경도,흉고직경,근원직경,수령,보호덮개,보호틀,뿌리융기여부,통기,지장물,수목사진,기타사진
11230-00011-0038,이팝나무,공원수,교목,1979-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57812528,127.071412,0.23,0.25,48,,,N,N,,02-11230-00011-0038-01.jpg,02-11230-00011-0038-02.jpg
11230-00011-0039,잣나무,공원수,교목,2000-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.57742691,127.0713654,0.17,0.21,27,,,N,N,,02-11230-00011-0039-01.jpg,02-11230-00011-0039-02.jpg
11230-00011-0040,이팝나무,공원수,교목,2004-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57764435,127.0708923,0.11,0.21,23,,,N,N,,02-11230-00011-0040-01.jpg,02-11230-00011-0040-02.jpg
11230-00011-0041,잣나무,공원수,교목,1994-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57785416,127.0716858,0.21,0.22,33,,,N,N,,02-11230-00011-0041-01.jpg,02-11230-00011-0041-02.jpg
11230-00011-0042,이팝나무,공원수,교목,1989-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57811747,127.0714022,0.18,0.2,38,,,N,N,,02-11230-00011-0042-01.jpg,02-11230-00011-0042-02.jpg
11230-00011-0043,단풍나무,공원수,교목,1999-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57775879,127.0714951,0.12,0.17,28,,,N,N,,02-11230-00011-0043-01.jpg,02-11230-00011-0043-02.jpg
11230-00011-0044,산수유,공원수,교목,1975-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.5776329,127.0719452,0.13,0.2,52,,,N,N,,02-11230-00011-0044-01.jpg,02-11230-00011-0044-02.jpg
11230-00011-0045,잣나무,공원수,교목,2000-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.57743835,127.0713654,0.17,0.21,27,,,N,N,,02-11230-00011-0045-01.jpg,02-11230-00011-0045-02.jpg
11230-00011-0046,이팝나무,공원수,교목,2004-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57810156,127.071407,0.11,0.18,23,,,N,N,,02-11230-00011-0046-01.jpg,02-11230-00011-0046-02.jpg
11230-00011-0047,사과나무,공원수,교목,2015-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,7시,37.57751234,127.0712902,0.06,0.13,12,,,N,N,,02-11230-00011-0047-01.jpg,02-11230-00011-0047-02.jpg
11230-00011-0048,잣나무,공원수,교목,1997-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57786942,127.0717239,0.19,0.22,30,,,N,N,,02-11230-00011-0048-01.jpg,02-11230-00011-0048-02.jpg
11230-00011-0049,단풍나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57778168,127.0714722,0.08,0.14,19,,,N,N,,02-11230-00011-0049-01.jpg,02-11230-00011-0049-02.jpg
11230-00011-0050,소나무,공원수,교목,1979-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57762909,127.0719299,0.25,0.27,48,,,N,N,,02-11230-00011-0050-01.jpg,02-11230-00011-0050-02.jpg
11230-00011-0051,은행나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57813793,127.0712456,0.15,0.19,19,,,N,N,,02-11230-00011-0051-01.jpg,02-11230-00011-0051-02.jpg
11230-00011-0052,잣나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.57747269,127.071373,0.12,0.16,19,,,N,N,,02-11230-00011-0052-01.jpg,02-11230-00011-0052-02.jpg
11230-00011-0053,잣나무,공원수,교목,1994-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57789993,127.0716858,0.21,0.22,33,,,N,N,,02-11230-00011-0053-01.jpg,02-11230-00011-0053-02.jpg
11230-00011-0054,소나무,공원수,교목,2006-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57765961,127.0709152,0.11,0.13,21,,,N,N,,02-11230-00011-0054-01.jpg,02-11230-00011-0054-02.jpg
11230-00011-0055,소나무,공원수,교목,1983-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57756424,127.0719299,0.23,0.26,44,,,N,N,,02-11230-00011-0055-01.jpg,02-11230-00011-0055-02.jpg
11230-00011-0056,뽕나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57767105,127.0708923,0.11,0.84,19,,,N,N,,02-11230-00011-0056-01.jpg,02-11230-00011-0056-02.jpg
11230-00011-0057,단풍나무,공원수,교목,1994-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57783127,127.0714645,0.14,0.17,33,,,N,N,,02-11230-00011-0057-01.jpg,02-11230-00011-0057-02.jpg
11230-00011-0058,사과나무,공원수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,7시,37.57748756,127.0712826,0.13,0.19,25,,,N,N,,02-11230-00011-0058-01.jpg,02-11230-00011-0058-02.jpg
11230-00011-0059,잣나무,공원수,교목,1991-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.57749939,127.0713654,0.23,0.23,36,,,N,N,,02-11230-00011-0059-01.jpg,02-11230-00011-0059-02.jpg
11230-00011-0060,잣나무,공원수,교목,2007-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57792664,127.0717316,0.13,0.18,20,,,N,N,,02-11230-00011-0060-01.jpg,02-11230-00011-0060-02.jpg
11230-00011-0061,잣나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57814694,127.0712547,0.12,0.14,19,,,N,N,,02-11230-00011-0061-01.jpg,02-11230-00011-0061-02.jpg
11230-00011-0062,소나무,공원수,교목,1966-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57758713,127.0719299,0.32,0.36,61,,대상형,N,N,,02-11230-00011-0062-01.jpg,02-11230-00011-0062-02.jpg
11230-00011-0063,단풍나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.57752228,127.071373,0.08,0.13,19,,,N,N,,02-11230-00011-0063-01.jpg,02-11230-00011-0063-02.jpg
11230-00011-0064,은행나무,공원수,교목,1978-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57812235,127.0713523,0.39,0.48,49,,,N,N,,02-11230-00011-0064-01.jpg,02-11230-00011-0064-02.jpg
11230-00011-0065,소나무,공원수,교목,1968-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57756805,127.0718842,0.31,0.34,59,,대상형,N,N,,02-11230-00011-0065-01.jpg,02-11230-00011-0065-02.jpg
11230-00011-0066,향나무,공원수,교목,1991-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.5775032,127.0713882,0.18,0.2,36,,,N,N,,02-11230-00011-0066-01.jpg,02-11230-00011-0066-02.jpg
11230-00011-0067,소나무,공원수,교목,1966-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.5776062,127.0718918,0.32,0.35,61,,대상형,N,N,,02-11230-00011-0067-01.jpg,02-11230-00011-0067-02.jpg
11230-00011-0068,이팝나무,공원수,교목,1991-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57771683,127.0709,0.17,0.16,36,,,N,N,,02-11230-00011-0068-01.jpg,02-11230-00011-0068-02.jpg
11230-00011-0069,사과나무,공원수,교목,2015-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,7시,37.57744784,127.0713012,0.06,0.13,12,,,N,N,가로등,02-11230-00011-0069-01.jpg,02-11230-00011-0069-02.jpg
11230-00011-0070,향나무,공원수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57812235,127.0713523,0.16,0.17,32,,,N,N,,02-11230-00011-0070-01.jpg,02-11230-00011-0070-02.jpg
11230-00011-0071,소나무,공원수,교목,1968-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57758713,127.0718536,0.31,0.34,59,,대상형,N,N,,02-11230-00011-0071-01.jpg,02-11230-00011-0071-02.jpg
11230-00011-0072,이팝나무,공원수,교목,1989-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,1시,37.57786179,127.0714951,0.18,0.21,38,,,N,N,,02-11230-00011-0072-01.jpg,02-11230-00011-0072-02.jpg
11230-00011-0073,모과나무,공원수,교목,2006-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57794571,127.071701,0.11,0.2,21,,,N,N,,02-11230-00011-0073-01.jpg,02-11230-00011-0073-02.jpg
11230-00011-0074,산딸나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57811785,127.0713468,0.11,0.14,19,,,N,N,,02-11230-00011-0074-01.jpg,02-11230-00011-0074-02.jpg
11230-00011-0075,단풍나무,공원수,교목,2003-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57771683,127.0709534,0.1,0.74,24,,,N,N,,02-11230-00011-0075-01.jpg,02-11230-00011-0075-02.jpg
11230-00011-0076,사과나무,공원수,교목,2011-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,7시,37.57743462,127.0712526,0.08,0.14,16,,,N,N,,02-11230-00011-0076-01.jpg,02-11230-00011-0076-02.jpg
11230-00011-0077,잣나무,공원수,교목,1977-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.5776329,127.0718231,0.32,0.33,50,,대상형,N,N,,02-11230-00011-0077-01.jpg,02-11230-00011-0077-02.jpg
11230-00011-0078,소나무,공원수,교목,1993-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.5774765,127.0713959,0.18,0.24,34,,,N,N,,02-11230-00011-0078-01.jpg,02-11230-00011-0078-02.jpg
11230-00011-0079,이팝나무,공원수,교목,1991-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,1시,37.57786179,127.0715256,0.17,0.18,36,,,N,N,,02-11230-00011-0079-01.jpg,02-11230-00011-0079-02.jpg
11230-00011-0080,이팝나무,공원수,교목,1997-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57813699,127.0713496,0.14,0.16,30,,,N,N,,02-11230-00011-0080-01.jpg,02-11230-00011-0080-02.jpg
11230-00011-0081,소나무,공원수,교목,1994-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57764435,127.0717697,0.17,0.36,33,,대상형,N,N,,02-11230-00011-0081-01.jpg,02-11230-00011-0081-02.jpg
11230-00011-0082,소나무,공원수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57798004,127.0716782,0.13,0.29,25,,,N,N,,02-11230-00011-0082-01.jpg,02-11230-00011-0082-02.jpg
11230-00011-0083,은행나무,공원수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57806504,127.0713317,0.25,0.31,32,,,N,N,,02-11230-00011-0083-01.jpg,02-11230-00011-0083-02.jpg
11230-00011-0084,단풍나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57775497,127.070961,0.08,0.12,19,,,N,N,,02-11230-00011-0084-01.jpg,02-11230-00011-0084-02.jpg
11230-00011-0085,소나무,공원수,교목,1994-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.57744217,127.0713959,0.17,0.2,33,,,N,N,,02-11230-00011-0085-01.jpg,02-11230-00011-0085-02.jpg
11230-00011-0086,이팝나무,공원수,교목,1999-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,1시,37.57784271,127.0715256,0.13,0.16,28,,,N,N,,02-11230-00011-0086-01.jpg,02-11230-00011-0086-02.jpg
11230-00011-0087,감나무,공원수,교목,2001-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57806504,127.0713317,0.21,0.26,26,,,N,N,,02-11230-00011-0087-01.jpg,02-11230-00011-0087-02.jpg
11230-00011-0088,은행나무,공원수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57777786,127.0709152,0.2,0.27,25,,,N,N,,02-11230-00011-0088-01.jpg,02-11230-00011-0088-02.jpg
11230-00011-0089,이팝나무,공원수,교목,1993-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,7시,37.57732979,127.0713059,0.16,0.22,34,,,N,N,,02-11230-00011-0089-01.jpg,02-11230-00011-0089-02.jpg
11230-00011-0090,소나무,공원수,교목,1993-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.57742691,127.0714111,0.18,0.24,34,,,N,N,,02-11230-00011-0090-01.jpg,02-11230-00011-0090-02.jpg
